date,store,machine_id,spins,bb,rb,event_frag,合算確率,BB確率,Rb確率,投入枚数(IN),払出枚数(OUT),利益(円),1Gあたり利益,稼働率,設定1差分,設定2差分,設定3差分,設定4差分,設定5差分,設定6差分,最小差分,推定設定,データ異常,設定信頼度,店舗日ID,イベント名
2026/03/17,3,5,2320,5,8,0,178.4615385,464,290,6960,1968,99840,43.03448276,0.2252427184,369.5,336.5,267,210,257,326.5,210,4,0,47,3_46098,通常
2026/03/17,3,6,4608,22,15,0,124.5405405,209.4545455,307.2,13824,6720,142080,30.83333333,0.4473786408,216.2454545,177.2454545,99.74545455,70.34545455,89.34545455,136.8454545,70.34545455,4,0,19,3_46098,通常
2026/03/17,3,7,2651,7,6,0,203.9230769,378.7142857,441.8333333,7953,2256,113940,42.98000754,0.2573786408,154.9642857,193.9642857,271.4642857,352.4642857,399.4642857,468.9642857,154.9642857,1,0,39,3_46098,通常
2026/03/17,3,8,745,1,1,0,372.5,745,745,2235,336,37980,50.97986577,0.07233009709,976,1015,1092.5,1173.5,1220.5,1290,976,1,0,39,3_46098,通常
2026/03/17,3,9,2835,14,3,0,166.7647059,202.5,945,8505,3648,97140,34.26455026,0.2752427184,874.5,907.5,977,1034,1053,1100.5,874.5,1,0,33,3_46098,通常
2026/03/17,3,10,3473,15,9,0,144.7083333,231.5333333,385.8888889,10419,4464,119100,34.29311834,0.337184466,76.13333333,39.8,109.3,166.3,185.3,237.8666667,39.8,2,0,36.33333333,3_46098,通常
2026/03/17,4,1,8192,64,27,1,90.02197802,128,303.4074074,24576,17952,132480,16.171875,0.7953398058,303.3888889,264.3888889,186.8888889,146.1111111,165.1111111,212.6111111,146.1111111,4,0,19,4_46098,特定日
2026/03/17,4,2,4946,16,11,1,183.1851852,309.125,449.6363636,14838,4896,198840,40.20218358,0.4801941748,97.07954545,136.0795455,213.5795455,294.5795455,341.5795455,411.0795455,97.07954545,1,0,39,4_46098,特定日
2026/03/17,4,3,8454,25,18,1,196.6046512,338.16,469.6666667,25362,7728,352680,41.71753016,0.820776699,156.16,195.16,272.66,353.66,400.66,470.16,156.16,1,0,39,4_46098,特定日
2026/03/17,4,4,5392,17,17,1,158.5882353,317.1764706,317.1764706,16176,5712,209280,38.81305638,0.5234951456,181.9117647,148.9117647,79.41176471,103.9411765,150.9411765,220.4411765,79.41176471,3,0,24.52941176,4_46098,特定日
2026/03/17,4,5,4935,16,12,1,176.25,308.4375,411.25,14805,4992,196260,39.76899696,0.4791262136,38.8125,77.8125,155.3125,236.3125,283.3125,352.8125,38.8125,1,0,39,4_46098,特定日
2026/03/17,4,6,8786,29,32,1,144.0327869,302.9655172,274.5625,26358,10032,326520,37.16366947,0.8530097087,231.6217672,198.6217672,129.1217672,72.12176724,72.80926724,142.3092672,72.12176724,4,0,0.6875,4_46098,特定日
2026/03/17,4,7,3848,11,5,1,240.5,349.8181818,769.6,11544,3120,168480,43.78378378,0.373592233,617.7181818,656.7181818,734.2181818,815.2181818,862.2181818,931.7181818,617.7181818,1,0,39,4_46098,特定日
2026/03/17,4,8,5556,23,16,1,142.4615385,241.5652174,347.25,16668,7056,192240,34.60043197,0.5394174757,124.0597826,85.05978261,41.30978261,98.30978261,120.4402174,189.9402174,41.30978261,3,0,43.75,4_46098,特定日
2026/03/17,4,9,5763,20,21,1,140.5609756,288.15,274.4285714,17289,6816,209460,36.34565331,0.5595145631,217.0071429,184.0071429,114.5071429,57.50714286,57.79285714,127.2928571,57.50714286,4,0,0.2857142857,4_46098,特定日
2026/03/17,4,10,6204,23,13,1,172.3333333,269.7391304,477.2307692,18612,6768,236880,38.18181818,0.6023300971,105.6070234,138.6070234,215.5852843,296.5852843,343.5852843,413.0852843,105.6070234,1,0,33,4_46098,特定日
2626/03/18,1,1,1699,3,0,0,566.3333333,566.3333333,,5097,720,87540,51.52442613,0.1649514563,906.8333333,873.8333333,804.3333333,747.3333333,728.3333333,680.8333333,680.8333333,6,1,47.5,1_265244,通常
2626/03/18,1,2,4740,13,17,0,158,364.6153846,278.8235294,14220,4752,189360,39.94936709,0.4601941748,286.8800905,253.8800905,184.3800905,127.3800905,140.8506787,210.3506787,127.3800905,4,0,13.47058824,1_265244,通常
2626/03/18,1,3,849,3,0,0,283,283,,2547,720,36540,43.03886926,0.08242718447,623.5,590.5,521,464,445,397.5,397.5,6,1,47.5,1_265244,通常
2626/03/18,1,4,3579,9,11,0,178.95,397.6666667,325.3636364,10737,3216,150420,42.02849958,0.3474757282,250.1212121,217.1212121,147.6212121,196.7121212,243.7121212,313.2121212,147.6212121,3,0,49.09090909,1_265244,通常
2626/03/18,1,5,5614,19,19,0,147.7368421,295.4736842,295.4736842,16842,6384,209160,37.25685786,0.5450485437,192.7631579,159.7631579,90.26315789,49.68421053,96.68421053,166.1842105,49.68421053,4,0,40.57894737,1_265244,通常
2626/03/18,1,6,1450,4,2,0,241.6666667,362.5,725,4350,1152,63960,44.11034483,0.140776699,563.5,602.5,680,761,808,877.5,563.5,1,0,39,1_265244,通常
2626/03/18,1,7,3647,13,11,0,151.9583333,280.5384615,331.5454545,10941,4176,135300,37.09898547,0.3540776699,123.7202797,90.72027972,21.22027972,88.85664336,135.8566434,205.3566434,21.22027972,3,0,67.63636364,1_265244,通常
2626/03/18,1,8,1062,4,3,0,151.7142857,265.5,354,3186,1248,38760,36.49717514,0.1031067961,90,51,27.5,107.5,154.5,224,27.5,3,0,23.5,1_265244,通常
2626/03/18,1,9,7104,28,18,0,154.4347826,253.7142857,394.6666667,21312,8448,257280,36.21621622,0.6897087379,40.78571429,30.78571429,100.2857143,157.2857143,203.7142857,273.2142857,30.78571429,2,0,10,1_265244,通常
2626/03/18,1,10,2512,8,6,0,179.4285714,314,418.6666667,7536,2496,100800,40.12738854,0.2438834951,55.5,94.5,172,253,300,369.5,55.5,1,0,39,1_265244,通常
2626/03/18,2,1,1695,11,6,0,99.70588235,154.0909091,282.5,5085,3216,37380,22.05309735,0.1645631068,308.6590909,269.6590909,192.1590909,111.1590909,107.6590909,155.1590909,107.6590909,5,0,3.5,2_265244,通常
2626/03/18,2,2,1052,0,4,0,263,,263,3156,384,55440,52.69961977,0.1021359223,492,453,375.5,294.5,247.5,280,247.5,5,1,32.5,2_265244,通常
2626/03/18,2,3,734,4,0,0,183.5,183.5,,2202,960,24840,33.84196185,0.07126213592,703,664,586.5,505.5,458.5,389,389,6,1,69.5,2_265244,通常
2626/03/18,2,4,1202,5,1,0,200.3333333,240.4,1202,3606,1296,46200,38.4359401,0.1166990291,1222.1,1255.1,1324.6,1381.6,1401.4,1470.9,1222.1,1,0,33,2_265244,通常
2626/03/18,2,5,576,1,1,0,288,576,576,1728,336,27840,48.33333333,0.0559223301,553.5,592.5,670,751,798,867.5,553.5,1,0,39,2_265244,通常
2626/03/18,2,6,3924,19,14,0,118.9090909,206.5263158,280.2857143,11772,5904,117360,29.90825688,0.3809708738,259.5451128,220.5451128,143.0451128,62.04511278,51.90225564,99.40225564,51.90225564,5,0,10.14285714,2_265244,通常
2626/03/18,2,7,152,0,0,0,,,,456,0,9120,60,0.01475728155,886.5,847.5,770,689,642,572.5,572.5,6,1,69.5,2_265244,通常
2626/03/18,2,8,3380,13,12,0,135.2,260,281.6666667,10140,4272,117360,34.72189349,0.3281553398,204,165,87.5,18.5,40.5,110,18.5,4,0,22,2_265244,通常
2626/03/18,2,9,152,0,0,0,,,,456,0,9120,60,0.01475728155,886.5,847.5,770,689,642,572.5,572.5,6,1,69.5,2_265244,通常
2626/03/18,2,10,3924,19,14,0,118.9090909,206.5263158,280.2857143,11772,5904,117360,29.90825688,0.3809708738,259.5451128,220.5451128,143.0451128,62.04511278,51.90225564,99.40225564,51.90225564,5,0,10.14285714,2_265244,通常
2626/03/18,3,1,262,0,0,0,,,,786,0,15720,60,0.0254368932,886.5,847.5,770,689,642,572.5,572.5,6,1,69.5,3_265244,通常
2626/03/18,3,2,5739,20,21,0,139.9756098,286.95,273.2857143,17217,6816,208020,36.24673288,0.557184466,217.5214286,184.5214286,115.0214286,58.02142857,54.87857143,124.3785714,54.87857143,5,0,3.142857143,3_265244,通常
2626/03/18,3,3,163,0,0,0,,,,489,0,9780,60,0.01582524272,886.5,847.5,770,689,642,572.5,572.5,6,1,69.5,3_265244,通常
2626/03/18,3,4,402,0,1,0,402,,402,1206,96,22200,55.2238806,0.03902912621,283.5,295.5,365,422,441,488.5,283.5,1,1,12,3_265244,通常
2626/03/18,3,5,2097,7,4,0,190.6363636,299.5714286,524.25,6291,2064,84540,40.31473534,0.203592233,199.4464286,238.4464286,315.9464286,396.9464286,443.9464286,513.4464286,199.4464286,1,0,39,3_265244,通常
